Potential,DC Gain,Oscillation Amplitude,Exponential Time Constant,Frequency,Phase
0.0V,0.11202909057716803,0.7471869141217878,57290630626.73314,0.00019988681882073775,1.9064966412668252
7.0V,1027.8427128214394,65.12004363221502,43244.90447323812,0.00017040290090042853,1.1256279425007167
9.0V,1030.1674717969845,75.36229670188237,4372519301567.7495,0.00016002470197111455,2.116279510013646
3.0V,1003.2076504327649,196.31905039534587,2781.1141139440983,0.00015873549218646803,0.9638865736385218
6.0V,1023.5416040254308,120.79270327949074,8625.997092903226,0.00018315418588539588,0.8172247831695999
2.0V,990.5492402940857,-78.57904621603151,4976.45599066985,0.0001583935080643581,3.4210192657189626
8.0V,1032.2421905944948,71.40505679888227,21318.693520471807,0.00016534804074183406,1.2617024715232161
1.5V,976.5556645130429,-137.34925180568018,4755.672139947005,0.00015060771824421769,3.122853256575233
0.5V,729.2713869667168,-330.4552468029984,1293.0722536254532,0.00015407726204612048,0.6646409092980464
4.0V,1012.5514865105279,97.38626805883949,4791.047911809194,0.00021717328633954106,0.6888059987503211
10.0V,1033.8622976109084,97.334843928856,233377.86560876368,0.00015485153211121678,1.6253749738456675
1.0V,942.7383497418291,-212.56729692470705,4160.938542893502,0.00013401266032209635,2.0596436736101373
0.1V,183.59923576868903,-100.64292081436963,941.2927822551238,0.0002023098480467837,-0.26715325553506863
5.0V,1018.8167062348512,129.21884526154196,5312.920888718167,0.00017861176346740495,1.0235247671674894
