Potential,DC Gain,Oscillation Amplitude,Exponential Time Constant,Frequency,Phase
0.0V,0.01921593853549856,2.535147075869293,21485.325546661425,-2.3794238023532128e-05,0.09006992116733882
7.0V,417.98921890118135,-68.99510376400453,10213.409891776468,0.0001557786094957733,3.8384262751841964
9.0V,427.04037825197963,60.320999350139545,5789.370050992377,0.0001409489385798282,1.054353928116043
3.0V,396.042361726025,-109.60626043674326,3960.664143644007,0.00016745722662393626,-21.090535412195354
6.0V,413.8087565712114,61.525521341439834,11258.243854782102,-0.00016267307877597539,5.543917337559634
2.0V,386.6032724599278,-50.277548822948134,3147.4509699741775,0.0001689406224298093,-27.53214999186018
8.0V,422.6685767087149,67.13895522182266,7408.108980867155,-0.00014173411007518518,5.440984194192252
1.5V,378.8671380330897,47.09448605072101,4530.8144373095365,0.0001524678747545533,-31.1995853451095
0.5V,290.4895755612396,121.99821802468767,1381.9790620494507,0.0001612125421892019,-27.485891453530606
4.0V,402.93945054718483,101.3582324489271,4759.567677614947,0.00016387613637255369,0.9063118340913462
10.0V,430.7292948852132,-50.401173089762494,9899.450764013643,0.00013802122994622824,-27.39415838337759
1.0V,362.48483900608295,69.10339362438293,4599.647955068222,0.00014669230463507763,-38.297828931812525
0.1V,77.11447722400251,150.17717600353757,1445.86024068011,-2.8129383326373262e-05,14.426754947944787
5.0V,408.5841614287634,-83.84433715062744,6970.880697592591,0.00016274668484563803,-21.16647089706075
